hour,nombre_trajets,tarif_moyen,vitesse_moyenne_kmh
0,69066,19.676442243651024,23.655925258170356
1,45298,17.337627489072336,22.26562108094442
2,31887,16.360910088750906,22.2103884167441
3,20518,17.859392728336097,24.315397343514086
4,12748,22.974407750235326,28.953215266790597
5,15612,27.573889956443796,31.51649435637048
6,35551,21.97287783747293,25.654138542087647
7,74259,18.525484587726737,20.771182277710444
8,105052,17.57616313825536,17.70262093125982
9,119294,17.843084061226847,17.655069376275996
10,129931,18.003142360175712,17.385992361937095
11,141143,17.588339981437247,16.512903806914228
12,153496,17.761225829988987,16.585841112902216
13,158912,18.371882236709602,16.71131155285834
14,171083,19.224247353623646,16.42857910345292
15,176797,19.066319168311633,15.965021785696505
16,178226,19.42216926823242,16.41158804651156
17,191032,18.044219083713664,15.909282230141446
18,195742,16.935336156777755,16.691274471259703
19,170458,17.622436259958462,18.776914973834668
20,149141,18.067009943610433,20.50284032924289
21,148261,18.32845812452363,21.27875275727942
22,130413,19.15491699447137,22.03837238303366
23,97234,20.356237118703323,23.617206804134774
