hour,nombre_groupes_partageables,total_trajets_partageables,trajets_moyen_par_groupe
0,5721,13090,2.2880615277049468
1,3984,9363,2.3501506024096384
2,2738,6358,2.3221329437545655
3,1272,2789,2.1926100628930816
4,362,768,2.1215469613259668
5,512,1124,2.1953125
6,2171,4911,2.2620912022109625
7,7451,17609,2.363306938665951
8,12386,29969,2.419586630066204
9,14306,34348,2.400950650076891
10,15562,37219,2.391659169772523
11,17691,42988,2.4299361257136396
12,19761,48311,2.4447649410454937
13,20384,49333,2.4201824960753533
14,21859,53803,2.461366027723135
15,23501,57924,2.464746181013574
16,23344,56465,2.4188228238519534
17,27204,66367,2.4396044699308925
18,28590,70009,2.448723329835607
19,22160,52255,2.35807761732852
20,17025,38942,2.2873421439060206
21,16783,38933,2.3197878805934575
22,13618,31503,2.3133352915259215
23,8134,18260,2.2448979591836733
